id,key,value,type
30995795,created_by,JOSM,regular
30995813,created_by,JOSM,regular
31002308,highway,traffic_signals,regular
31002308,crossing,traffic_signals,regular
31002315,highway,traffic_signals,regular
31002331,highway,traffic_signals,regular
31002840,highway,traffic_signals,regular
31003500,highway,traffic_signals,regular
31003504,highway,traffic_signals,regular
31003513,highway,traffic_signals,regular
31003518,created_by,JOSM,regular
31003526,highway,crossing,regular
31003528,created_by,JOSM,regular
31003532,created_by,JOSM,regular
31003537,created_by,JOSM,regular
31003538,created_by,JOSM,regular
31003545,created_by,JOSM,regular
31003546,created_by,JOSM,regular
31003558,created_by,JOSM,regular
31003562,created_by,JOSM,regular
31003566,created_by,JOSM,regular
31003568,created_by,JOSM,regular
31003570,created_by,JOSM,regular
31003574,highway,traffic_signals,regular
31003580,created_by,JOSM,regular
31003581,created_by,JOSM,regular
31003600,highway,traffic_signals,regular
31003626,highway,traffic_signals,regular
31003858,created_by,JOSM,regular
31003933,highway,traffic_signals,regular
31003974,highway,traffic_signals,regular
31003976,highway,traffic_signals,regular
31003989,highway,traffic_signals,regular
31011326,created_by,JOSM,regular
31011327,created_by,JOSM,regular
31011334,created_by,JOSM,regular
31011335,created_by,JOSM,regular
31011336,created_by,JOSM,regular
31011337,created_by,JOSM,regular
31011338,created_by,JOSM,regular
31011340,created_by,JOSM,regular
31011347,created_by,JOSM,regular
31011355,created_by,JOSM,regular
31011361,created_by,JOSM,regular
31011368,created_by,JOSM,regular
31011371,created_by,JOSM,regular
31011372,created_by,JOSM,regular
31015594,highway,traffic_signals,regular
31036808,highway,traffic_signals,regular
31036822,created_by,JOSM,regular
31036823,highway,traffic_signals,regular
31036824,created_by,JOSM,regular
31036825,created_by,JOSM,regular
31036826,created_by,JOSM,regular
31036827,created_by,JOSM,regular
31036832,created_by,JOSM,regular
31036833,created_by,JOSM,regular
31036842,highway,crossing,regular
31036842,crossing,island,regular
31036848,highway,traffic_signals,regular
31036852,created_by,JOSM,regular
31036853,created_by,JOSM,regular
31036857,created_by,JOSM,regular
31036858,created_by,JOSM,regular
31036874,created_by,JOSM,regular
31037013,bicycle,yes,regular
31037013,highway,crossing,regular
31037013,crossing,traffic_signals,regular
31037082,created_by,JOSM,regular
31037091,created_by,JOSM,regular
31037331,created_by,JOSM,regular
31037332,created_by,JOSM,regular
31037333,created_by,JOSM,regular
31037335,created_by,JOSM,regular
31037337,created_by,JOSM,regular
31037339,created_by,JOSM,regular
31037341,created_by,JOSM,regular
31037345,created_by,JOSM,regular
31037347,created_by,JOSM,regular
31037348,created_by,JOSM,regular
31037350,created_by,JOSM,regular
31037352,created_by,JOSM,regular
31037355,created_by,JOSM,regular
31037359,created_by,JOSM,regular
31037361,created_by,JOSM,regular
31037363,created_by,JOSM,regular
31037365,created_by,JOSM,regular
31037367,created_by,JOSM,regular
31037376,created_by,JOSM,regular
31037491,highway,traffic_signals,regular
31037497,created_by,JOSM,regular
31037553,highway,turning_circle,regular
31037554,created_by,JOSM,regular
31037575,created_by,JOSM,regular
31037576,created_by,JOSM,regular
31047332,created_by,JOSM,regular
31047343,created_by,JOSM,regular
31047347,created_by,JOSM,regular
31047360,created_by,JOSM,regular
31047405,highway,traffic_signals,regular
31047436,created_by,JOSM,regular
31047498,created_by,JOSM,regular
31047511,created_by,JOSM,regular
31047541,highway,traffic_signals,regular
31047571,created_by,JOSM,regular
31047578,created_by,JOSM,regular
31047589,created_by,JOSM,regular
31047600,created_by,JOSM,regular
31052513,created_by,JOSM,regular
31052515,created_by,JOSM,regular
31052523,created_by,JOSM,regular
31052524,created_by,JOSM,regular
31052525,created_by,JOSM,regular
31052535,created_by,JOSM,regular
31052539,created_by,JOSM,regular
31052551,created_by,JOSM,regular
31052557,created_by,JOSM,regular
31052563,created_by,JOSM,regular
31052564,created_by,JOSM,regular
31052566,created_by,JOSM,regular
31052567,created_by,JOSM,regular
31052580,created_by,JOSM,regular
31052591,highway,traffic_signals,regular
31052607,created_by,JOSM,regular
31052608,created_by,JOSM,regular
31052609,created_by,JOSM,regular
31052610,created_by,JOSM,regular
31052613,created_by,JOSM,regular
31052614,created_by,JOSM,regular
31052615,created_by,JOSM,regular
31052620,created_by,JOSM,regular
31052629,created_by,JOSM,regular
31052639,created_by,JOSM,regular
31052656,created_by,JOSM,regular
31052665,created_by,JOSM,regular
31052673,created_by,JOSM,regular
31052682,created_by,JOSM,regular
31052689,created_by,JOSM,regular
31052695,created_by,JOSM,regular
31052701,created_by,JOSM,regular
31052706,created_by,JOSM,regular
31052709,created_by,JOSM,regular
31054183,fixme,continue,regular
31054183,noexit,no,regular
31054419,created_by,JOSM,regular
31054420,created_by,JOSM,regular
31054424,created_by,JOSM,regular
31054427,created_by,JOSM,regular
31054429,created_by,JOSM,regular
31063989,created_by,JOSM,regular
31063990,created_by,JOSM,regular
31063991,created_by,JOSM,regular
31063994,created_by,JOSM,regular
31063995,created_by,JOSM,regular
31063996,created_by,JOSM,regular
31063997,created_by,JOSM,regular
31063998,created_by,JOSM,regular
31063999,created_by,JOSM,regular
31064000,created_by,JOSM,regular
31064001,created_by,JOSM,regular
31064002,created_by,JOSM,regular
31064005,created_by,JOSM,regular
31064006,created_by,JOSM,regular
31064007,created_by,JOSM,regular
31064008,created_by,JOSM,regular
31064009,created_by,JOSM,regular
31064010,created_by,JOSM,regular
31064011,created_by,JOSM,regular
31064012,created_by,JOSM,regular
31064013,created_by,JOSM,regular
31064014,created_by,JOSM,regular
31064015,created_by,JOSM,regular
31064016,created_by,JOSM,regular
31064017,created_by,JOSM,regular
31064018,created_by,JOSM,regular
31064019,created_by,JOSM,regular
31064020,created_by,JOSM,regular
31064021,created_by,JOSM,regular
31064022,created_by,JOSM,regular
31064079,created_by,JOSM,regular
31064080,created_by,JOSM,regular
31064081,created_by,JOSM,regular
31064082,created_by,JOSM,regular
31064083,created_by,JOSM,regular
31064084,created_by,JOSM,regular
31064085,created_by,JOSM,regular
31064086,created_by,JOSM,regular
31064087,created_by,JOSM,regular
31064088,created_by,JOSM,regular
31064089,created_by,JOSM,regular
31064090,created_by,JOSM,regular
31064091,created_by,JOSM,regular
31064092,created_by,JOSM,regular
31064093,created_by,JOSM,regular
31064094,created_by,JOSM,regular
31064095,created_by,JOSM,regular
31064096,created_by,JOSM,regular
31064097,created_by,JOSM,regular
31064098,created_by,JOSM,regular
31064100,created_by,JOSM,regular
